,ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
67,W0068,6.7,0.25,0.13,1.2,0.041,81.0,174.0,0.992,3.14,0.42,9.8,1.0
68,W0069,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,2.0
69,W0070,7.4,0.24,,10.1,0.05,21.0,105.0,0.9962,,0.35,9.5,1.0
70,W0071,6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,9.0,2.0
71,W0072,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,1.0
72,W0073,6.0,0.27,,4.8,0.063,31.0,201.0,0.9964,3.69,,10.0,1.0
73,W0074,8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,,9.1,2.0
74,W0075,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,2.0
75,W0076,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,,9.5,1.0
76,W0077,7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,3.26,0.37,12.7,2.0
77,W0078,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,2.0
78,W0079,7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,,9.3,1.0
79,W0080,6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,1.0
80,W0081,6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,2.0
81,W0082,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,2.0
82,W0083,7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,10.0,1.0
83,W0084,7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,2.0
84,W0085,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,1.0
85,W0086,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,2.0
86,W0087,7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,2.0
87,W0088,6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,,0.48,9.7,2.0
88,W0089,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,1.0
89,W0090,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,2.0
90,W0091,7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,2.0
91,W0092,6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,,0.47,9.0,1.0
92,W0093,6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,12.6,2.0
93,W0094,6.9,0.21,,1.8,0.034,48.0,136.0,0.9899,,0.41,12.6,2.0
94,W0095,7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,2.0
95,W0096,7.1,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,3.04,0.42,9.2,2.0
96,W0097,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,2.0
97,W0098,8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36,11.4,2.0
98,W0099,9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.9956,,0.3,10.1,1.0
99,W0100,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,,8.8,2.0
100,W0101,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,,9.1,1.0
101,W0102,7.1,0.12,,9.6,0.054,64.0,162.0,0.9962,,0.41,9.4,1.0
102,W0103,6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,1.0
103,W0104,7.5,0.305,0.4,18.9,0.059,44.0,170.0,1.0,2.99,0.46,9.0,1.0
104,W0105,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,1.0
105,W0106,7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.9974,3.2,0.35,9.2,2.0
106,W0107,7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,,9.4,1.0
107,W0108,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,,9.1,2.0
108,W0109,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,,9.1,2.0
109,W0110,6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,1.0
110,W0111,6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,2.89,0.39,8.8,2.0
111,W0112,7.2,0.27,,18.75,0.052,45.0,255.0,1.0,,0.52,8.9,1.0
112,W0113,7.2,0.31,,13.3,0.056,68.0,195.0,0.9982,,0.47,9.2,1.0
113,W0114,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,1.0
114,W0115,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,1.0
115,W0116,5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7,1.0
116,W0117,6.0,0.31,,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,11.3,2.0
117,W0118,7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.9911,3.19,0.42,11.8,2.0
118,W0119,7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,1.0
119,W0120,7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,,9.2,1.0
120,W0121,5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,1.0
121,W0122,7.8,0.24,,12.2,0.054,42.0,138.0,0.9984,,0.54,8.8,1.0
122,W0123,7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7,1.0
123,W0124,6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,0.36,9.1,2.0
124,W0125,6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,2.0
125,W0126,6.7,0.19,0.36,1.1,0.026,63.0,143.0,0.9912,3.27,0.48,11.0,2.0
126,W0127,7.4,0.39,,7.0,0.033,29.0,126.0,0.994,,0.42,10.5,1.0
127,W0128,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,2.0
128,W0129,6.1,0.3,0.56,2.8,0.044,47.0,179.0,0.9924,,0.57,10.9,2.0
129,W0130,6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,,10.9,2.0
130,W0131,5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.994,3.39,0.37,10.6,1.0
131,W0132,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,2.0
132,W0133,6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.9979,3.23,0.57,9.0,1.0
133,W0134,6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.9982,3.24,0.51,9.2,1.0
134,W0135,6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.9961,3.19,0.52,8.9,1.0
135,W0136,6.7,0.27,0.31,15.7,0.036,44.0,179.0,0.9979,3.26,0.56,9.6,1.0
136,W0137,8.2,0.23,0.4,1.2,0.027,36.0,121.0,0.992,3.12,0.38,10.7,2.0
137,W0138,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,1.0
138,W0139,6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.9917,3.15,0.54,10.8,2.0
139,W0140,8.1,0.28,0.39,1.9,0.029,18.0,79.0,0.9923,3.23,0.52,11.8,2.0
140,W0141,6.3,0.31,,2.2,0.045,20.0,77.0,0.9927,,0.43,10.2,1.0
141,W0142,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,1.0
142,W0143,7.9,0.21,,1.2,0.039,38.0,107.0,0.992,3.21,,10.8,2.0
143,W0144,8.5,0.21,0.41,4.3,0.036,24.0,99.0,0.9947,3.18,0.53,9.7,2.0
144,W0145,8.1,0.2,,2.0,0.037,19.0,87.0,0.9921,,,11.2,2.0
145,W0146,6.3,0.255,0.37,1.1,0.04,37.0,114.0,0.9905,3.0,0.39,10.9,2.0
146,W0147,5.6,0.16,0.27,1.4,0.044,53.0,168.0,0.9918,3.28,0.37,10.1,2.0
147,W0148,6.4,0.595,0.14,5.2,0.058,15.0,97.0,0.9951,3.38,0.36,9.0,1.0
148,W0149,6.3,0.34,0.33,4.6,0.034,19.0,80.0,0.9917,3.38,0.58,12.0,2.0
149,W0150,6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,2.0
150,W0151,7.9,0.22,0.38,8.0,0.043,46.0,152.0,0.9934,3.12,0.32,11.5,2.0
151,W0152,7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,3.14,,9.9,2.0
152,W0153,6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,2.0
153,W0154,7.2,0.18,,1.2,0.048,41.0,97.0,0.9919,3.14,0.45,10.4,1.0
154,W0155,8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,2.0
155,W0156,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,2.0
156,W0157,7.4,0.24,,14.0,0.066,48.0,198.0,0.9979,,0.42,8.9,2.0
157,W0158,6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,2.0
158,W0159,5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,2.0
159,W0160,5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,2.0
160,W0161,6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,2.0
161,W0162,6.4,0.22,0.56,14.5,0.055,27.0,159.0,0.998,2.98,0.4,9.1,1.0
162,W0163,6.3,0.36,0.3,4.8,0.049,14.0,85.0,0.9932,3.28,0.39,10.6,1.0
163,W0164,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,,0.42,8.9,2.0
164,W0165,6.7,0.24,0.35,13.1,0.05,64.0,205.0,0.997,3.15,0.5,9.5,1.0
165,W0166,7.0,0.23,0.36,13.0,0.051,72.0,177.0,0.9972,3.16,0.49,9.8,1.0
166,W0167,8.4,0.27,0.46,8.7,0.048,39.0,197.0,0.9974,3.14,0.59,9.6,2.0
167,W0168,6.7,0.46,0.18,2.4,0.034,25.0,98.0,0.9896,3.08,,12.6,2.0
168,W0169,7.5,0.29,,8.95,0.055,20.0,151.0,0.9968,3.08,0.54,9.3,1.0
169,W0170,9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.9958,2.87,0.29,10.0,1.0
170,W0171,7.1,0.3,0.46,1.5,0.066,29.0,133.0,0.9906,3.12,0.54,12.7,2.0
171,W0172,7.9,0.19,0.45,1.5,0.045,17.0,96.0,0.9917,3.13,0.39,11.0,2.0
172,W0173,7.6,0.48,0.37,0.8,0.037,4.0,100.0,0.9902,3.03,0.39,11.4,1.0
173,W0174,6.3,0.22,0.43,4.55,0.038,31.0,130.0,0.9918,3.35,0.33,11.5,2.0
174,W0175,7.5,0.27,0.31,17.7,0.051,33.0,173.0,0.999,3.09,0.64,10.2,1.0
175,W0176,6.9,0.23,0.4,7.5,0.04,50.0,151.0,0.9927,3.11,0.27,11.4,2.0
176,W0177,7.2,0.32,0.47,5.1,0.044,19.0,65.0,0.991,3.03,0.41,12.6,1.0
177,W0178,5.9,0.23,,12.9,0.054,57.0,170.0,0.9972,3.28,0.39,9.4,1.0
178,W0179,6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.9931,,0.35,8.7,1.0
179,W0180,6.4,0.25,0.32,5.5,0.049,41.0,176.0,0.995,3.19,0.68,9.2,2.0
180,W0181,6.4,0.33,0.31,5.5,0.048,42.0,173.0,0.9951,3.19,0.66,9.3,2.0
181,W0182,7.1,0.34,0.15,1.2,0.053,61.0,183.0,0.9936,3.09,0.43,9.2,1.0
182,W0183,6.8,0.28,,22.0,0.048,48.0,167.0,1.001,,0.5,8.7,1.0
183,W0184,6.9,0.27,0.4,14.0,0.05,64.0,227.0,0.9979,3.18,0.58,9.6,2.0
184,W0185,6.8,0.26,0.56,11.9,0.043,64.0,226.0,0.997,3.02,0.63,9.3,1.0
185,W0186,6.8,0.29,0.56,11.9,0.043,66.0,230.0,0.9972,3.02,0.63,9.3,1.0
186,W0187,6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.9954,3.12,0.61,9.9,2.0
187,W0188,5.9,0.3,0.23,4.2,0.038,42.0,119.0,0.9924,,0.5,11.0,1.0
188,W0189,6.8,0.53,0.35,3.8,0.034,26.0,109.0,0.9906,3.26,0.57,12.7,2.0
189,W0190,6.5,0.28,0.28,8.5,0.047,54.0,210.0,0.9962,,0.54,8.9,1.0
190,W0191,6.6,0.28,0.28,8.5,0.052,55.0,211.0,0.9962,3.09,0.55,8.9,2.0
191,W0192,6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,1.0
192,W0193,6.8,0.28,0.36,8.0,0.045,28.0,123.0,0.9928,3.02,0.37,11.4,2.0
193,W0194,6.6,0.15,0.34,5.1,0.055,34.0,125.0,0.9942,3.36,0.42,9.6,1.0
194,W0195,6.4,0.29,0.44,3.6,0.2,75.0,181.0,0.9942,3.02,0.41,9.1,1.0
195,W0196,6.4,0.3,0.45,3.5,0.197,76.0,180.0,0.9942,3.02,0.39,9.1,2.0
196,W0197,6.4,0.29,,3.6,0.197,75.0,183.0,0.9942,3.01,0.38,9.1,1.0
197,W0198,6.8,0.26,0.24,7.8,0.052,54.0,214.0,0.9961,3.13,0.47,8.9,1.0
198,W0199,7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.998,3.1,0.49,8.8,1.0
199,W0200,6.8,0.26,0.24,7.8,0.052,54.0,214.0,0.9961,3.13,0.47,8.9,1.0
200,W0201,6.8,0.27,0.26,16.1,0.049,55.0,196.0,0.9984,3.15,0.5,9.3,1.0
201,W0202,7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.998,3.1,0.49,8.8,1.0
202,W0203,6.9,0.54,0.32,13.2,0.05,53.0,236.0,0.9973,3.2,0.5,9.6,1.0
203,W0204,6.8,0.26,,13.9,0.034,39.0,134.0,0.9949,,,12.0,2.0
204,W0205,5.8,0.28,0.35,2.3,0.053,36.0,114.0,0.9924,3.28,0.5,10.2,1.0
205,W0206,6.4,0.21,,11.6,0.042,45.0,153.0,0.9972,,0.43,8.8,1.0
206,W0207,7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,0.34,9.2,1.0
207,W0208,10.2,0.44,0.88,6.2,0.049,20.0,124.0,0.9968,2.99,,9.9,1.0
208,W0209,6.8,0.57,0.29,2.2,0.04,15.0,77.0,0.9938,3.32,0.74,10.2,1.0
209,W0210,6.1,0.4,0.31,0.9,0.048,23.0,170.0,0.993,3.22,0.77,9.5,2.0
210,W0211,5.6,0.245,0.25,9.7,0.032,12.0,68.0,0.994,3.31,,10.5,1.0
211,W0212,6.8,0.18,0.38,1.4,0.038,35.0,111.0,0.9918,3.32,0.59,11.2,2.0
212,W0213,7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,,9.2,1.0
213,W0214,6.7,0.13,0.29,5.3,0.051,31.0,122.0,0.9944,3.44,,9.7,2.0
214,W0215,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,2.0
215,W0216,5.8,0.26,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,,9.4,1.0
216,W0217,7.5,0.27,0.36,7.0,0.036,45.0,164.0,0.9939,3.03,,11.0,1.0
217,W0218,5.8,0.26,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,0.38,9.4,1.0
218,W0219,5.7,0.28,0.24,17.5,0.044,60.0,167.0,0.9989,3.31,0.44,9.4,1.0
219,W0220,7.5,0.23,0.36,7.0,0.036,43.0,161.0,0.9938,3.04,0.32,11.0,1.0
220,W0221,7.5,0.27,0.36,7.0,0.036,45.0,164.0,0.9939,3.03,0.33,11.0,1.0
221,W0222,7.2,0.685,0.21,9.5,0.07,33.0,172.0,0.9971,3.0,0.55,9.1,2.0
222,W0223,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,2.0
223,W0224,6.5,0.19,0.3,0.8,0.043,33.0,144.0,0.9936,3.42,0.39,9.1,2.0
224,W0225,6.3,0.495,0.22,1.8,0.046,31.0,140.0,0.9929,3.39,0.54,10.4,2.0
225,W0226,7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,1.0
226,W0227,6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.9938,3.5,0.5,9.7,2.0
227,W0228,7.1,0.25,,10.3,0.041,66.0,272.0,0.9969,,0.52,9.1,2.0
228,W0229,6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.9938,3.5,0.5,9.7,2.0
229,W0230,7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,1.0
230,W0231,6.8,0.64,0.08,9.7,0.062,26.0,142.0,0.9972,3.37,0.46,8.9,1.0
231,W0232,8.3,0.28,0.4,7.8,0.041,38.0,194.0,0.9976,3.34,,9.6,2.0
232,W0233,8.2,0.27,0.39,7.8,0.039,49.0,208.0,0.9976,3.31,0.51,9.5,2.0
233,W0234,7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,2.0
234,W0235,7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,2.0
235,W0236,7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,2.0
236,W0237,7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,2.0
237,W0238,6.8,0.52,0.32,13.2,0.044,54.0,221.0,0.9972,3.27,0.5,9.6,2.0
238,W0239,7.0,0.26,0.59,1.4,0.037,40.0,120.0,0.9918,3.34,0.41,11.1,2.0
239,W0240,6.2,0.25,0.21,15.55,0.039,28.0,159.0,0.9982,3.48,0.64,9.6,2.0
240,W0241,7.3,0.32,0.23,13.7,0.05,49.0,197.0,0.9985,3.2,0.46,8.7,1.0
241,W0242,7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.9944,3.13,0.5,10.4,1.0
242,W0243,7.1,0.21,0.37,2.4,0.026,23.0,100.0,0.9903,3.15,0.38,11.4,2.0
243,W0244,6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,2.0
244,W0245,6.9,0.4,0.56,11.2,0.043,40.0,142.0,0.9975,,0.46,8.7,1.0
245,W0246,6.1,0.18,0.36,2.0,0.038,20.0,249.5,0.9923,3.37,0.79,11.3,2.0
246,W0247,6.8,0.21,,2.1,0.03,26.0,139.0,0.99,,0.61,12.6,2.0
247,W0248,5.8,0.2,0.27,1.4,0.031,12.0,77.0,0.9905,3.25,0.36,10.9,2.0
248,W0249,5.6,0.19,,1.4,0.03,12.0,76.0,0.9905,3.25,,10.9,2.0
249,W0250,6.1,0.41,0.14,10.4,0.037,18.0,119.0,0.996,,0.45,10.0,1.0
250,W0251,5.9,0.21,0.28,4.6,0.053,40.0,199.0,0.9964,3.72,0.7,10.0,1.0
251,W0252,8.5,0.26,0.21,16.2,0.074,41.0,197.0,0.998,,,9.8,1.0
252,W0253,6.9,0.4,,11.2,0.043,40.0,142.0,0.9975,3.14,0.46,8.7,1.0
253,W0254,5.8,0.24,0.44,3.5,0.029,5.0,109.0,0.9913,3.53,,11.7,1.0
254,W0255,5.8,0.24,,1.5,0.054,37.0,158.0,0.9932,,0.52,9.3,2.0
255,W0256,6.7,0.26,,1.1,0.04,45.0,147.0,0.9935,3.32,0.58,9.6,2.0
256,W0257,6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.9927,3.27,0.41,11.0,2.0
257,W0258,6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.9927,3.27,0.41,11.0,2.0
